OBJECTID,the_geom,LandmarkNo,Name,Address,LargePhoto,Thumbnail,YearBuilt,Architect,Designer,Parcel,Designatio,PIMLink,Latitude,Longitude
66,MULTIPOINT ((-122.37555799999996 37.73153700000006)),60,HUNTERS POINT SPRINGS & ALBION BREWERY,881 INNES AV,http://sfplanninggis.org/Preservation/Landmarks/Large/60.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/60.jpg,1855/1870,,,4654/013,http://sfplanninggis.org/docs/landmarks_and_districts/LM60.pdf,http://propertymap.sfplanning.org?search=4654/013,37.731537,-122.375558
67,MULTIPOINT ((-122.38907499999999 37.73134900000008)),61,SYLVESTER HOUSE,1556 REVERE AV,http://sfplanninggis.org/Preservation/Landmarks/Large/61.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/61.jpg,1865-70,STEPHEN L. PIPER,,5340/006,http://sfplanninggis.org/docs/landmarks_and_districts/LM61.pdf,http://propertymap.sfplanning.org?search=5340/006,37.731349,-122.389075
68,MULTIPOINT ((-122.43823099999997 37.77274600000004)),62,OLD MISH HOUSE,1153 OAK ST,http://sfplanninggis.org/Preservation/Landmarks/Large/62.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/62.jpg,1885,MCDOUGALL AND SONS,,1218/029,http://sfplanninggis.org/docs/landmarks_and_districts/LM62.pdf,http://propertymap.sfplanning.org?search=1218/029,37.772746,-122.438231
69,MULTIPOINT ((-122.38845599999996 37.73572800000005)),63,QUINN HOUSE,1562 MCKINNON AV,http://sfplanninggis.org/Preservation/Landmarks/Large/63.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/63.jpg,1867,,,5295/031,http://sfplanninggis.org/docs/landmarks_and_districts/LM63.pdf,http://propertymap.sfplanning.org?search=5295/031,37.735728,-122.388456
70,MULTIPOINT ((-122.41139699999997 37.792260000000056)),64,OLD FLOOD MANSION -PACIFIC UNION CLUB,1000 CALIFORNIA ST,http://sfplanninggis.org/Preservation/Landmarks/Large/64.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/64.jpg,1885-86,AUGUSTUS LAVER;WILLLIS POLK;GEORGE KELHAM,,0245/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM64.pdf,http://propertymap.sfplanning.org?search=0245/001,37.79226,-122.411397
71,MULTIPOINT ((-122.42491899999999 37.788373000000036)),65,TRINITY EPISCOPAL CHURCH,1668 BUSH ST,http://sfplanninggis.org/Preservation/Landmarks/Large/65.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/65.jpg,1892/1893,ARTHUR PAGE BROWN,,0665/015,http://sfplanninggis.org/docs/landmarks_and_districts/LM65.pdf,http://propertymap.sfplanning.org?search=0665/015,37.788373,-122.424919
72,MULTIPOINT ((-122.43062599999996 37.78766400000006)),66,STANYAN HOUSE,2006 BUSH ST,http://sfplanninggis.org/Preservation/Landmarks/Large/66.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/66.jpg,1852,,,0661/033,http://sfplanninggis.org/docs/landmarks_and_districts/LM66.pdf,http://propertymap.sfplanning.org?search=0661/033,37.787664,-122.430626
73,MULTIPOINT ((-122.42703999999998 37.765904000000035)),67,TANFORAN COTTAGE,214 DOLORES ST,http://sfplanninggis.org/Preservation/Landmarks/Large/67.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/67.jpg,1853,,,3557/003,http://sfplanninggis.org/docs/landmarks_and_districts/LM67.pdf,http://propertymap.sfplanning.org?search=3557/003,37.765904,-122.42704
74,MULTIPOINT ((-122.42703799999998 37.76579700000008)),68,TANFORAN COTTAGE,220 DOLORES ST,http://sfplanninggis.org/Preservation/Landmarks/Large/68.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/68.jpg,1859,,,3557/003A,http://sfplanninggis.org/docs/landmarks_and_districts/LM68.pdf,http://propertymap.sfplanning.org?search=3557/003A,37.765797,-122.427038
75,MULTIPOINT ((-122.42495899999994 37.79325000000006)),69,HAAS-LILIENTHAL HOUSE,2007 FRANKLIN ST,http://sfplanninggis.org/Preservation/Landmarks/Large/69.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/69.jpg,1885-1886,PETER R. SCHMIDT,,0600/002,http://sfplanninggis.org/docs/landmarks_and_districts/LM69.pdf,http://propertymap.sfplanning.org?search=0600/002,37.79325,-122.424959
76,MULTIPOINT ((-122.42708699999997 37.79007400000006)),70,ATHERTON HOUSE,1990 CALIFORNIA ST,http://sfplanninggis.org/Preservation/Landmarks/Large/70.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/70.jpg,1881,MOORE BROS.,,0640/010,http://sfplanninggis.org/docs/landmarks_and_districts/LM70.pdf,http://propertymap.sfplanning.org?search=0640/010,37.790074,-122.427087
77,MULTIPOINT ((-122.42219099999994 37.78537800000004)),71,GOODMAN BUILDING,1117 GEARY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/71.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/71.jpg,1869,,,0714/018,http://sfplanninggis.org/docs/landmarks_and_districts/LM71.pdf,http://propertymap.sfplanning.org?search=0714/018,37.785378,-122.422191
78,MULTIPOINT ((-122.42219099999994 37.78537800000004)),71,GOODMAN BUILDING/EMERIC BUILDING,1117 GEARY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/71.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/71.jpg,1869,,,0714/018,http://sfplanninggis.org/docs/landmarks_and_districts/LM71.pdf,http://propertymap.sfplanning.org?search=0714/018,37.785378,-122.422191
79,MULTIPOINT ((-122.40588999999994 37.788265000000024)),72,V. C. MORRIS BUILDING,140 MAIDEN LN,http://sfplanninggis.org/Preservation/Landmarks/Large/72.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/72.jpg,1911;1949,FRANK LLOYD WRIGHT,,0309/019,http://sfplanninggis.org/docs/landmarks_and_districts/LM72.pdf,http://propertymap.sfplanning.org?search=0309/019,37.788265,-122.40589
80,MULTIPOINT ((-122.41652999999997 37.751611000000025)),74,,1348 SOUTH VAN NESS AV,http://sfplanninggis.org/Preservation/Landmarks/Large/74.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/74.jpg,,,,6518/006,http://sfplanninggis.org/docs/landmarks_and_districts/LM74.pdf,http://propertymap.sfplanning.org?search=6518/006,37.751611,-122.41653
81,MULTIPOINT ((-122.41652999999997 37.751611000000025)),74,FRANK M. STONE HOUSE,1348 SOUTH VAN NESS AV,http://sfplanninggis.org/Preservation/Landmarks/Large/74.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/74.jpg,,,,6518/006,http://sfplanninggis.org/docs/landmarks_and_districts/LM74.pdf,http://propertymap.sfplanning.org?search=6518/006,37.751611,-122.41653
82,MULTIPOINT ((-122.42942799999997 37.79341500000004)),75,WHITTIER MANSION,2090 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/75.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/75.jpg,1894-1896,EDWARD R. SWAIN & NEWTON J. THARP,,0591/007,http://sfplanninggis.org/docs/landmarks_and_districts/LM75.pdf,http://propertymap.sfplanning.org?search=0591/007,37.793415,-122.429428
83,MULTIPOINT ((-122.40179299999994 37.791337000000055)),76,MILLS BUILDING & TOWER,220-232 MONTGOMERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/76.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/76.jpg,1891;1907;1931,BURNHAM & ROOT;WILLIS POLK;LEWIS HOBART,,0268/006,http://sfplanninggis.org/docs/landmarks_and_districts/LM76.pdf,http://propertymap.sfplanning.org?search=0268/006,37.791337,-122.401793
84,MULTIPOINT ((-122.40709999999996 37.78515500000003)),77,SAMUEL'S CLOCK,856 MARKET,http://sfplanninggis.org/Preservation/Landmarks/Large/77.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/77.jpg,1915,,,0329/004,http://sfplanninggis.org/docs/landmarks_and_districts/LM77.pdf,http://propertymap.sfplanning.org?search=0329/004,37.785155,-122.4071
85,MULTIPOINT ((-122.44077299999998 37.73185100000006)),78,SUNNYSIDE CONSERVATORY,234-258 MONTEREY BL,http://sfplanninggis.org/Preservation/Landmarks/Large/78.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/78.jpg,1891,,,6770/056,http://sfplanninggis.org/docs/landmarks_and_districts/LM78.pdf,http://propertymap.sfplanning.org?search=6770/056,37.731851,-122.440773
86,MULTIPOINT ((-122.44525799999997 37.75914100000006)),79,MILLER-JOOST HOUSE,3224 MARKET ST,http://sfplanninggis.org/Preservation/Landmarks/Large/79.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/79.jpg,POSSIBLY 1867,,,2704/040,http://sfplanninggis.org/docs/landmarks_and_districts/LM79.pdf,http://propertymap.sfplanning.org?search=2704/040,37.759141,-122.445258
87,MULTIPOINT ((-122.43952699999994 37.759614000000056)),80,ALFRED E.(NOBBY) CLARKE MANSION,250 DOUGLASS ST,http://sfplanninggis.org/Preservation/Landmarks/Large/80.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/80.jpg,1891,,,2700/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM80.pdf,http://propertymap.sfplanning.org?search=2700/001,37.759614,-122.439527
88,MULTIPOINT ((-122.42815299999995 37.78748600000006)),81,OHABAI SHALOME/BUSH STREET TEMPLE,1881 BUSH ST,http://sfplanninggis.org/Preservation/Landmarks/Large/81.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/81.jpg,1895,MOSES LYON,,0674/033,http://sfplanninggis.org/docs/landmarks_and_districts/LM81.pdf,http://propertymap.sfplanning.org?search=0674/033,37.787486,-122.428153
89,MULTIPOINT ((-122.41020899999995 37.78680700000007)),82,GEARY THEATER,415-333 GEARY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/82.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/82.jpg,1909,BLISS & FAVILLE,,0316/001A,http://sfplanninggis.org/docs/landmarks_and_districts/LM82.pdf,http://propertymap.sfplanning.org?search=0316/001A,37.786807,-122.410209
90,MULTIPOINT ((-122.41020899999995 37.78680700000007)),82,GEARY THEATER ANNEX,333 MASON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/82.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/82.jpg,1909,BLISS & FAVILLE,,0316/001A,http://sfplanninggis.org/docs/landmarks_and_districts/LM82.pdf,http://propertymap.sfplanning.org?search=0316/001A,37.786807,-122.410209
91,MULTIPOINT ((-122.45968799999997 37.78667100000007)),83,ST. JOHN'S PRESBYTERIAN CHURCH,25 LAKE ST,http://sfplanninggis.org/Preservation/Landmarks/Large/83.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/83.jpg,1905;'07;'13;'49,GEORGE DODGE & J. WALTER DOLLIVER,,1361/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM83.pdf,http://propertymap.sfplanning.org?search=1361/001,37.786671,-122.459688
92,MULTIPOINT ((-122.42093499999999 37.77905500000003)),84,WAR MEMORIAL COMPLEX,,http://sfplanninggis.org/Preservation/Landmarks/Large/84.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/84.jpg,,,,0786A/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM84.pdf,http://propertymap.sfplanning.org?search=0786A/001,37.779055,-122.420935
93,MULTIPOINT ((-122.42093499999999 37.77905500000003)),84,WAR MEMORIAL COMPLEX,401 VAN NESS AV,http://sfplanninggis.org/Preservation/Landmarks/Large/84.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/84.jpg,,,,0786A/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM84.pdf,http://propertymap.sfplanning.org?search=0786A/001,37.779055,-122.420935
94,MULTIPOINT ((-122.41718999999995 37.80373800000007)),85,S.F. ART INSTITUTE,800 CHESTNUT ST,http://sfplanninggis.org/Preservation/Landmarks/Large/85.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/85.jpg,1926,BAKEWELL & BROWN,,0049/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM85.pdf,http://propertymap.sfplanning.org?search=0049/001,37.803738,-122.41719
95,MULTIPOINT ((-122.40064499999994 37.758267000000046)),86,POTERO HILL NEIGHBORHOOD HOUSE,953 DEHARO ST,http://sfplanninggis.org/Preservation/Landmarks/Large/86.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/86.jpg,1922,JULIA MORGAN,,4096/043,http://sfplanninggis.org/docs/landmarks_and_districts/LM86.pdf,http://propertymap.sfplanning.org?search=4096/043,37.758267,-122.400645
96,MULTIPOINT ((-122.40432999999996 37.78625500000004)),87,JESSIE ST. SUBSTATION,220-226 JESSIE ST,http://sfplanninggis.org/Preservation/Landmarks/Large/87.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/87.jpg,1906-1909,WILLIS POLK,,3706/248,http://sfplanninggis.org/docs/landmarks_and_districts/LM87.pdf,http://propertymap.sfplanning.org?search=3706/248,37.786255,-122.40433
97,MULTIPOINT ((-122.44834599999996 37.802902000000074)),88,PALACE OF FINE ARTS,3301 LYON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/88.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/88.jpg,1914,BERNARD MAYBECK,,0916/002,http://sfplanninggis.org/docs/landmarks_and_districts/LM88.pdf,http://propertymap.sfplanning.org?search=0916/002,37.802902,-122.448346
98,MULTIPOINT ((-122.43836599999997 37.77330100000006)),89,"FIREHOUSE ENGINE CO.#2,TRUCK #6",1152 OAK ST,http://sfplanninggis.org/Preservation/Landmarks/Large/89.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/89.jpg,1893,HENRIKSEN (BERNHARDT E.) & MAHONEY (WILLIAM C.),,1215/010,http://sfplanninggis.org/docs/landmarks_and_districts/LM89.pdf,http://propertymap.sfplanning.org?search=1215/010,37.773301,-122.438366
99,MULTIPOINT ((-122.39345899999995 37.79561000000007)),90,FERRY BUILDING,THE EMBARCADERO,http://sfplanninggis.org/Preservation/Landmarks/Large/90.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/90.jpg,1898,"A. PAGE BROWN, EDWARD R. SWAIN",,9900/274,http://sfplanninggis.org/docs/landmarks_and_districts/LM90.pdf,http://propertymap.sfplanning.org?search=9900/274,37.79561,-122.393459
100,MULTIPOINT ((-122.40033999999997 37.79948600000006)),91,"GIBB SANBORN WAREHOUSE, TRINIDAD",855 FRONT ST,http://sfplanninggis.org/Preservation/Landmarks/Large/91.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/91.jpg,1885;1899,,,0141/013,http://sfplanninggis.org/docs/landmarks_and_districts/LM91.pdf,http://propertymap.sfplanning.org?search=0141/013,37.799486,-122.40034
101,MULTIPOINT ((-122.40046499999994 37.799855000000036)),92,"GIBB-SANBORN WAREHOUSE, NORTH",901-925 FRONT ST,http://sfplanninggis.org/Preservation/Landmarks/Large/92.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/92.jpg,1855,,,0136/003,http://sfplanninggis.org/docs/landmarks_and_districts/LM92.pdf,http://propertymap.sfplanning.org?search=0136/003,37.799855,-122.400465
102,MULTIPOINT ((-122.44353199999995 37.79069800000008)),93,FIREHOUSE ENGINE COMPANY NO 23,3022 WASHINGTON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/93.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/93.jpg,1893,HENRIKSEN (BERNHARDT E.) & MAHONEY (WILLIAM C.),,0981/013,http://sfplanninggis.org/docs/landmarks_and_districts/LM93.pdf,http://propertymap.sfplanning.org?search=0981/013,37.790698,-122.443532
103,MULTIPOINT ((-122.41465299999999 37.77933200000007)),94,ORPHEUM THEATER BUILDING,1182-1192 MARKET ST,http://sfplanninggis.org/Preservation/Landmarks/Large/94.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/94.jpg,1926,B.MARCUS PRITECA,,0351/022,http://sfplanninggis.org/docs/landmarks_and_districts/LM94.pdf,http://propertymap.sfplanning.org?search=0351/022,37.779332,-122.414653
104,MULTIPOINT ((-122.45597199999997 37.78913600000004)),95,KOSHLAND HOUSE,3800 WASHINGTON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/95.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/95.jpg,1902-1904,FRANK S. VAN TREES,,0989/028,http://sfplanninggis.org/docs/landmarks_and_districts/LM95.pdf,http://propertymap.sfplanning.org?search=0989/028,37.789136,-122.455972
105,MULTIPOINT ((-122.46669399999996 37.77141500000005)),96,FRANCES SCOTT KEY MONUMENT,N.E. END CONCOURSE,http://sfplanninggis.org/Preservation/Landmarks/Large/96.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/96.jpg,1887,,,1700/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM96.pdf,http://propertymap.sfplanning.org?search=1700/001,37.771415,-122.466694
106,MULTIPOINT ((-122.41433099999995 37.79714500000006)),97,ATKINSON-ESCHER HOUSE,1032 BROADWAY,http://sfplanninggis.org/Preservation/Landmarks/Docs/SAMPLE_PHOTO.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/SAMPLE_PHOTO.jpg,,,,0150/045,http://sfplanninggis.org/docs/landmarks_and_districts/LM97.pdf,http://propertymap.sfplanning.org?search=0150/045,37.797145,-122.414331
107,MULTIPOINT ((-122.41433099999995 37.79714500000006)),97,ATKINSON HOUSE,1032 BROADWAY,http://sfplanninggis.org/Preservation/Landmarks/Docs/SAMPLE_PHOTO.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/SAMPLE_PHOTO.jpg,,,,0150/045,http://sfplanninggis.org/docs/landmarks_and_districts/LM97.pdf,http://propertymap.sfplanning.org?search=0150/045,37.797145,-122.414331
108,MULTIPOINT ((-122.43898499999995 37.78756000000004)),98,ORTMAN-SHUMATE HOUSE,1901 SCOTT ST,http://sfplanninggis.org/Preservation/Landmarks/Large/98.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/98.jpg,1870,,,1027/003,http://sfplanninggis.org/docs/landmarks_and_districts/LM98.pdf,http://propertymap.sfplanning.org?search=1027/003,37.78756,-122.438985
109,MULTIPOINT ((-122.41169999999994 37.758845000000065)),99,SCHOENSTEIN & CO. PIPE ORGAN BLDG,3101 20TH ST,http://sfplanninggis.org/Preservation/Landmarks/Large/99.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/99.jpg,1928,,,4084/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM99.pdf,http://propertymap.sfplanning.org?search=4084/001,37.758845,-122.4117
110,MULTIPOINT ((-122.43469599999997 37.762013000000024)),100,CASTRO THEATER,429 CASTRO ST,http://sfplanninggis.org/Preservation/Landmarks/Large/100.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/100.jpg,1922,TIMOTHY PFLUEGER,,3582/085,http://sfplanninggis.org/docs/landmarks_and_districts/LM100.pdf,http://propertymap.sfplanning.org?search=3582/085,37.762013,-122.434696
111,"MULTIPOINT ((-122.39009599999997 37.78278800000004), (-122.38980799999996 37.782407000000035))",101,ORIENTAL WAREHOUSE,620-650 01ST ST,http://sfplanninggis.org/Preservation/Landmarks/Large/101.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/101.jpg,1867,,,3789/532,http://sfplanninggis.org/docs/landmarks_and_districts/LM101.pdf,http://propertymap.sfplanning.org?search=3789/532,37.7825975,-122.389952
112,"MULTIPOINT ((-122.39009599999997 37.78278800000004), (-122.38980799999996 37.782407000000035))",101,PACIFIC MAIL/ORIENTAL WAREHOUSE,622-650 FIRST ST,http://sfplanninggis.org/Preservation/Landmarks/Large/101.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/101.jpg,1867,,,3789/532,http://sfplanninggis.org/docs/landmarks_and_districts/LM101.pdf,http://propertymap.sfplanning.org?search=3789/532,37.7825975,-122.389952
113,MULTIPOINT ((-122.402267 37.802861000000064)),102,ITALIAN SWISS COLONY WAREHOUSE BLDG,1265 BATTERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/102.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/102.jpg,1903,HEMENWAY AND MILLER,,0084/008,http://sfplanninggis.org/docs/landmarks_and_districts/LM102.pdf,http://propertymap.sfplanning.org?search=0084/008,37.802861,-122.402267
114,MULTIPOINT ((-122.43511399999994 37.792674000000034)),103,CALVARY PRESBYTERIAN CHURCH,2501-2515 FILLMORE ST,http://sfplanninggis.org/Preservation/Landmarks/Large/103.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/103.jpg,1900-1910,MCDOUGALL BROTHERS,,0587/027,http://sfplanninggis.org/docs/landmarks_and_districts/LM103.pdf,http://propertymap.sfplanning.org?search=0587/027,37.792674,-122.435114
115,MULTIPOINT ((-122.43511399999994 37.792674000000034)),103,CALVARY PRESBYTERIAN CHURCH,2515 FILLMORE ST,http://sfplanninggis.org/Preservation/Landmarks/Large/103.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/103.jpg,1900-1910,MCDOUGALL BROTHERS,,0587/027,http://sfplanninggis.org/docs/landmarks_and_districts/LM103.pdf,http://propertymap.sfplanning.org?search=0587/027,37.792674,-122.435114
116,MULTIPOINT ((-122.43511399999994 37.792674000000034)),103,SEE 2501 FILLMORE,2428-2515 JACKSON ST,http://sfplanninggis.org/Preservation/Landmarks/Large/103.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/103.jpg,1900-1910,MCDOUGALL BROTHERS,,0587/027,http://sfplanninggis.org/docs/landmarks_and_districts/LM103.pdf,http://propertymap.sfplanning.org?search=0587/027,37.792674,-122.435114
117,MULTIPOINT ((-122.40185699999995 37.80153300000006)),104,INDEPENDENT WOOD CO. BLDG. (CARGO WEST),1105 BATTERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/104.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/104.jpg,1907,,,0107/008,http://sfplanninggis.org/docs/landmarks_and_districts/LM104.pdf,http://propertymap.sfplanning.org?search=0107/008,37.801533,-122.401857
118,MULTIPOINT ((-122.43126199999995 37.78032100000007)),105,MARKET STREET RAILWAY SUBSTATION,1140-1190 FILLMORE ST,http://sfplanninggis.org/Preservation/Landmarks/Large/105.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/105.jpg,1902,,,0756/015,http://sfplanninggis.org/docs/landmarks_and_districts/LM105.pdf,http://propertymap.sfplanning.org?search=0756/015,37.780321,-122.431262
119,MULTIPOINT ((-122.43126199999995 37.78032100000007)),105,MARKET STREET RAILWAY SUBSTATION,1190 FILLMORE ST,http://sfplanninggis.org/Preservation/Landmarks/Large/105.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/105.jpg,1902,,,0756/015,http://sfplanninggis.org/docs/landmarks_and_districts/LM105.pdf,http://propertymap.sfplanning.org?search=0756/015,37.780321,-122.431262
120,MULTIPOINT ((-122.41408299999995 37.79249200000004)),106,CHAMBORD APARTMENTS,1298 SACRAMENTO ST,http://sfplanninggis.org/Preservation/Landmarks/Large/106.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/106.jpg,COMMISSN'D 1921,JAMES FRANCIS DUNN,,0221/125,http://sfplanninggis.org/docs/landmarks_and_districts/LM106.pdf,http://propertymap.sfplanning.org?search=0221/125,37.792492,-122.414083
121,MULTIPOINT ((-122.39284799999996 37.79226500000004)),107,RINCON ANNEX POST OFFICE,99 MISSION ST,http://sfplanninggis.org/Preservation/Landmarks/Large/107.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/107.jpg,1939-1941,GILBERT STANLEY UNDERWOOD,,3716/021,http://sfplanninggis.org/docs/landmarks_and_districts/LM107.pdf,http://propertymap.sfplanning.org?search=3716/021,37.792265,-122.392848
122,MULTIPOINT ((-122.42057499999999 37.767817000000036)),108,STATE ARMORY & ARSENAL,1800 MISSION ST,http://sfplanninggis.org/Preservation/Landmarks/Large/108.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/108.jpg,1909,WILLIAM L. & JOHN W. WOOLLETT,,3547/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM108.pdf,http://propertymap.sfplanning.org?search=3547/001,37.767817,-122.420575
123,MULTIPOINT ((-122.40266699999995 37.79347300000006)),109,A. BOREL & COMPANY BLG,440 MONTGOMERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/109.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/109.jpg,1908,ALBERT PISSIS,,0239/012,http://sfplanninggis.org/docs/landmarks_and_districts/LM109.pdf,http://propertymap.sfplanning.org?search=0239/012,37.793473,-122.402667
124,MULTIPOINT ((-122.40251699999999 37.79357100000004)),110,ITALIAN AMERICAN BANK,460 MONTGOMERY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/110.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/110.jpg,1907,"JOHN GALEN HOWARD, ARCH. & JOHN DEBO GALLOWAY, ENG.",,0239/014,http://sfplanninggis.org/docs/landmarks_and_districts/LM110.pdf,http://propertymap.sfplanning.org?search=0239/014,37.793571,-122.402517
125,MULTIPOINT ((-122.42392499999994 37.78276200000005)),111,FAMILY SERVICE AGENCY,1010 GOUGH ST,http://sfplanninggis.org/Preservation/Landmarks/Large/111.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/111.jpg,1928,BERNARD MAYBECK,,0737/009,http://sfplanninggis.org/docs/landmarks_and_districts/LM111.pdf,http://propertymap.sfplanning.org?search=0737/009,37.782762,-122.423925
126,MULTIPOINT ((-122.42362699999995 37.782800000000066)),112,ROTHSCHILD HOUSE,964 EDDY ST,http://sfplanninggis.org/Preservation/Landmarks/Large/112.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/112.jpg,1880,,,0737/007,http://sfplanninggis.org/docs/landmarks_and_districts/LM112.pdf,http://propertymap.sfplanning.org?search=0737/007,37.7828,-122.423627
127,MULTIPOINT ((-122.40330399999999 37.791311000000064)),113,S.F. CURB EXCHANGE,350 BUSH ST,http://sfplanninggis.org/Preservation/Landmarks/Large/113.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/113.jpg,1923,MILLER AND PFLEUGER,,0269/028,http://sfplanninggis.org/docs/landmarks_and_districts/LM113.pdf,http://propertymap.sfplanning.org?search=0269/028,37.791311,-122.403304
128,MULTIPOINT ((-122.40304499999996 37.80442700000003)),114,BELT LINE RAILROAD ROUNDHOUSE COMPLEX,EMBARCADERO/LOMBARD,http://sfplanninggis.org/Preservation/Landmarks/Large/114.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/114.jpg,1913/1918,,,0058/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM114.pdf,http://propertymap.sfplanning.org?search=0058/001,37.804427,-122.403045
129,MULTIPOINT ((-122.43197699999996 37.78990700000003)),115,HEALTH SCIENCES LIBRARY,2395 SACRAMENTO ST,http://sfplanninggis.org/Preservation/Landmarks/Large/115.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/115.jpg,1912,ALBERT PISSIS,,0637/016,http://sfplanninggis.org/docs/landmarks_and_districts/LM115.pdf,http://propertymap.sfplanning.org?search=0637/016,37.789907,-122.431977
130,MULTIPOINT ((-122.40555099999995 37.789483000000075)),117,HAMMERSMITH BUILDING,303 SUTTER ST,http://sfplanninggis.org/Preservation/Landmarks/Large/117.jpg,http://sfplanninggis.org/Preservation/Landmarks/Docs/117.jpg,1907,LANDSBRUGH & JOSEPH,,0294/001,http://sfplanninggis.org/docs/landmarks_and_districts/LM117.pdf,http://propertymap.sfplanning.org?search=0294/001,37.789483,-122.405551
